TICKER;SEMI_VAR;POIDS;COURS;DATE_PRTF
ALLN SE;6.786421e-06;0.02;191.4;2019-12-01
AOX GY;7.813161e-06;0.02;16.58;2019-12-01
HELN SE;1.0340158e-05;0.02;136.5;2019-12-01
SPSN SE;1.1400601e-05;0.02;105.6;2019-12-01
COFB BB;1.2986085e-05;0.02;134.2;2019-12-01
UTG LN;1.3395817e-05;0.02;1251.0;2019-12-01
NOVN SE;1.4728527e-05;0.02;92.06;2019-12-01
SCMN SE;1.4733312e-05;0.02;517.6;2019-12-01
ZURN SE;1.5884332e-05;0.02;392.3;2019-12-01
PSPN SE;1.6127871e-05;0.02;130.1;2019-12-01
DTE GY;1.6620525e-05;0.02;15.24;2019-12-01
GALE SE;1.7112518e-05;0.02;60.15;2019-12-01
ELISA FH;2.0501474e-05;0.02;48.51;2019-12-01
COB LN;2.1202253e-05;0.02;158.2;2019-12-01
WDP BB;2.1941158e-05;0.02;22.94;2019-12-01
HNR1 GY;2.1954474e-05;0.02;168.5;2019-12-01
MUV2 GY;2.2335137e-05;0.02;260.6;2019-12-01
ORK NO;2.3320222e-05;0.02;89.26;2019-12-01
SLHN SE;2.3529995e-05;0.02;495.8;2019-12-01
AT1 GY;2.3921029e-05;0.02;7.88;2019-12-01
SGRO LN;2.4074635e-05;0.02;894.0;2019-12-01
SSE LN;2.4245364e-05;0.02;1279.01;2019-12-01
GEBN SE;2.4326016e-05;0.02;536.8;2019-12-01
ROG SE;2.556311e-05;0.02;308.2;2019-12-01
COV FP;2.5744535e-05;0.02;100.4;2019-12-01
GPOR LN;2.5870032e-05;0.02;830.8;2019-12-01
DLN LN;2.6004312e-05;0.02;3698.0;2019-12-01
SCR FP;2.6311248e-05;0.02;38.99;2019-12-01
ACKB BB;2.6429239e-05;0.02;136.5;2019-12-01
ENEL IM;2.6648751e-05;0.02;6.71;2019-12-01
NG/ LN;2.7215784e-05;0.02;889.7;2019-12-01
ELI BB;2.7305038e-05;0.02;75.0;2019-12-01
ALO FP;2.8026992e-05;0.02;39.58;2019-12-01
IBE SQ;2.823412e-05;0.02;8.76;2019-12-01
ELE SQ;2.8301795e-05;0.02;24.0;2019-12-01
NESN SE;2.8510158e-05;0.02;103.92;2019-12-01
CMBN SE;2.8614654e-05;0.02;104.1;2019-12-01
BARN SE;2.9750969e-05;0.02;1985.6;2019-12-01
BEI GY;2.9864873e-05;0.02;105.85;2019-12-01
EDP PL;3.0627651e-05;0.02;3.67;2019-12-01
PGHN SE;3.0632552e-05;0.02;843.2;2019-12-01
ING FP;3.1147883e-05;0.02;96.86;2019-12-01
AKZA NA;3.1228854e-05;0.02;86.92;2019-12-01
RBREW DC;3.197803e-05;0.02;610.4;2019-12-01
AED BB;3.2035175e-05;0.02;111.0;2019-12-01
AGS BB;3.2852649e-05;0.02;54.48;2019-12-01
NEXI IM;3.2983067e-05;0.02;10.7;2019-12-01
WIE AV;3.331746e-05;0.02;24.9;2019-12-01
SCHA NO;3.4197644e-05;0.02;252.5;2019-12-01
FHZN SE;3.4205885e-05;0.02;177.3;2019-12-01
ALLN SE;6.523959e-06;0.02;192.4;2020-01-01
SPSN SE;1.1675935e-05;0.02;111.9;2020-01-01
COFB BB;1.251807e-05;0.02;131.0;2020-01-01
NOVN SE;1.311166e-05;0.02;91.9;2020-01-01
UTG LN;1.3903418e-05;0.02;1260.0;2020-01-01
AT1 GY;1.412174e-05;0.02;7.98;2020-01-01
ZURN SE;1.553765e-05;0.02;397.1;2020-01-01
AOX GY;1.7052125e-05;0.02;16.75;2020-01-01
SCMN SE;1.8158382e-05;0.02;512.6;2020-01-01
BARN SE;2.0123398e-05;0.02;2112.05;2020-01-01
ROG SE;2.0521937e-05;0.02;314.0;2020-01-01
HNR1 GY;2.056888e-05;0.02;172.3;2020-01-01
PSPN SE;2.1287728e-05;0.02;133.6;2020-01-01
HELN SE;2.1726294e-05;0.02;136.8;2020-01-01
COB LN;2.1759679e-05;0.02;164.25;2020-01-01
COV FP;2.3467494e-05;0.02;101.2;2020-01-01
SLHN SE;2.4090846e-05;0.02;485.8;2020-01-01
MUV2 GY;2.414714e-05;0.02;263.0;2020-01-01
WDP BB;2.4861225e-05;0.02;23.17;2020-01-01
SSE LN;2.5222054e-05;0.02;1415.28;2020-01-01
NESN SE;2.5360973e-05;0.02;104.78;2020-01-01
GALE SE;2.5655327e-05;0.02;59.85;2020-01-01
DTE GY;2.5999397e-05;0.02;14.57;2020-01-01
GEBN SE;2.671284e-05;0.02;543.2;2020-01-01
ACKB BB;2.7876812e-05;0.02;139.7;2020-01-01
ORK NO;2.7929273e-05;0.02;88.96;2020-01-01
PGHN SE;2.802069e-05;0.02;887.4;2020-01-01
ELISA FH;2.9504281e-05;0.02;49.25;2020-01-01
SCR FP;2.9638321e-05;0.02;37.42;2020-01-01
NG/ LN;2.9976045e-05;0.02;944.3;2020-01-01
AGS BB;3.1777978e-05;0.02;52.68;2020-01-01
SCHA NO;3.1831264e-05;0.02;265.3;2020-01-01
ALO FP;3.2389562e-05;0.02;42.23;2020-01-01
AKZA NA;3.2480061e-05;0.02;90.64;2020-01-01
FHZN SE;3.3708025e-05;0.02;176.7;2020-01-01
WIE AV;3.4117646e-05;0.02;26.42;2020-01-01
EDP PL;3.4340358e-05;0.02;3.86;2020-01-01
RBREW DC;3.4519346e-05;0.02;610.0;2020-01-01
BEI GY;3.5800015e-05;0.02;106.65;2020-01-01
AED BB;3.7688504e-05;0.02;113.2;2020-01-01
ING FP;3.8200318e-05;0.02;96.8;2020-01-01
ELI BB;4.2459741e-05;0.02;79.1;2020-01-01
DLN LN;4.2464322e-05;0.02;4010.0;2020-01-01
GPOR LN;4.5628047e-05;0.02;860.0;2020-01-01
SGRO LN;4.7989507e-05;0.02;897.2;2020-01-01
OSR GY;6.85986e-06;0.02;44.15;2020-01-01
AD NA;2.5526086e-05;0.02;22.3;2020-01-01
ALT FP;2.7120664e-05;0.02;14.16;2020-01-01
COLR BB;2.7865034e-05;0.02;46.48;2020-01-01
COL SQ;2.948689e-05;0.02;11.36;2020-01-01
